archivo_origen,año,bodega,categoria_busqueda,categoria_calidad,descuento,disponibilidad,nombre_completo,nombre_vino,num_reviews,pagina,posicion,posicion_global,posicion_pagina,precio_eur,precio_original,rating,region,session_id,timestamp,tipo_vino,url
vivino_diversificado_20250716_130100.csv,2021.0,Alto Moncayo Veraton,Catalunya Moderna,Good Value,,Disponible,"Alto MoncayoVeraton Garnacha 2021 Campo de Borja,EspañaGood Value4,2206 valoraciones23 €",,6.0,,5.0,11.0,,23.0,,4.22,Campo de Borja,20250716_125646,2025-07-16 12:58:10,Tinto,https://www.vivino.com/alto-moncayo-veraton-garnacha/w/98783?year=2021&price_id=37806466
vivino_diversificado_20250716_130100.csv,2020.0,Castillo Perelada Empordà,Catalunya Moderna,Good Value,,Disponible,"Castillo PereladaEmpordà Aires de Garbet 2020 Empordà,EspañaGood Value4,263 valoraciones48,40 €",,3.0,,6.0,11.0,,48.4,,4.26,Empordà,20250716_125646,2025-07-16 12:58:10,Tinto,https://www.vivino.com/castillo-perelada-emporda-aires-de-garbet/w/3309635?year=2020&price_id=37143653
vivino_diversificado_20250716_130100.csv,2020.0,Altavins Selecció,Catalunya Moderna,Good Value,,Disponible,"AltavinsSelecció Red 2020 Terra Alta,EspañaGood Value4,2132 valoraciones32,50 €",,2.0,,7.0,11.0,,32.5,,4.213,Terra Alta,20250716_125646,2025-07-16 12:58:10,Tinto,https://www.vivino.com/altavins-seleccio-red/w/7118207?year=2020&price_id=36811730
vivino_diversificado_20250716_130100.csv,2020.0,Bodegas Frontonio Parcela,Catalunya Moderna,Good Value,,Disponible,"Bodegas FrontonioParcela La Cerqueta Garnacha 2020Valdejalón,EspañaGood Value4,237 valoraciones54,20 €",,7.0,,8.0,11.0,,54.2,,4.23,Valdejalón,20250716_125646,2025-07-16 12:58:10,Tinto,https://www.vivino.com/frontonio-parcela-la-cerqueta-garnacha/w/9078244?year=2020&price_id=33482789
vivino_diversificado_20250716_130100.csv,2020.0,Breca Brega,Catalunya Moderna,Good Value,,Disponible,"Breca Brega Garnacha 2020 Calatayud,EspañaGood Value4,267 valoraciones32,90 €",,7.0,,9.0,11.0,,32.9,,4.26,Calatayud,20250716_125646,2025-07-16 12:58:10,Tinto,https://www.vivino.com/breca-brega-garnacha/w/5526694?year=2020&price_id=36871459
vivino_diversificado_20250716_130100.csv,2018.0,Pago Los,Catalunya Moderna,Good Value,,Disponible,"Pago Los BalancinesBarbas de gata 2018Extremadura,EspañaGood Value4,249 valoraciones30,78 €",,9.0,,10.0,11.0,,30.78,,4.24,España,20250716_125646,2025-07-16 12:58:10,Tinto,https://www.vivino.com/pago-los-balancines-barbas-de-gata/w/8048744?year=2018&price_id=33586980
vivino_diversificado_20250716_130100.csv,2021.0,Bodegas Care Finca,Vinos Baratos €5-15,Great Value,,Disponible,"Bodegas CareFinca Bancales Viñas Viejas Garnacha 2021Cariñena,EspañaGreat Value4,1379 valoraciones12,66 €",,9.0,,2.0,21.0,,12.66,,4.137,Cariñena,20250716_125646,2025-07-16 12:58:39,Tinto,https://www.vivino.com/bodegas-care-finca-bancales-vinas-viejas-garnacha/w/2427372?year=2021&price_id=38759603
vivino_diversificado_20250716_130100.csv,2021.0,Bodegas Ateca Atteca,Vinos Baratos €5-15,Great Value,,Disponible,"Bodegas Ateca Atteca Garnacha (Old Vines) 2021 Calatayud,EspañaGreat Value4,1355 valoraciones12,65 €",,5.0,,3.0,21.0,,12.65,,4.135,Calatayud,20250716_125646,2025-07-16 12:58:39,Tinto,https://www.vivino.com/bodegas-ateca-atteca-garnacha-old-vines/w/1183710?year=2021&price_id=37818400
vivino_diversificado_20250716_130100.csv,2020.0,Bodegas Ateca Atteca,Vinos Baratos €5-15,Great Value,,Disponible,"Bodegas AtecaAtteca Garnacha (Old Vines) 2020 Calatayud,EspañaGreat Value4,1608 valoraciones14,46 €",,8.0,,4.0,21.0,,14.46,,4.16,Calatayud,20250716_125646,2025-07-16 12:58:39,Tinto,https://www.vivino.com/bodegas-ateca-atteca-garnacha-old-vines/w/1183710?year=2020&price_id=38449392
vivino_diversificado_20250716_130100.csv,2021.0,Bodegas Paco,Vinos Baratos €5-15,Great Value,,Disponible,"Bodegas Paco MuleroGarnacha 2021Calatayud,EspañaGreat Value4,191 valoraciones10,90 €",,1.0,,5.0,21.0,,10.9,,4.19,Calatayud,20250716_125646,2025-07-16 12:58:39,Tinto,https://www.vivino.com/bodegas-paco-mulero-garnacha/w/8995715?year=2021&price_id=35422551
vivino_diversificado_20250716_130100.csv,2021.0,Breca Garnacha,Vinos Baratos €5-15,Great Value,,Disponible,"Breca Garnacha 2021Calatayud,EspañaGreat Value4,182 valoraciones14,10 €",,2.0,,6.0,21.0,,14.1,,4.18,Calatayud,20250716_125646,2025-07-16 12:58:39,Tinto,https://www.vivino.com/breca-garnacha-calatayud/w/1370945?year=2021&price_id=38561559
vivino_diversificado_20250716_130100.csv,2022.0,Particular Garnacha Viñas,Vinos Baratos €5-15,Great Value,,Disponible,"ParticularGarnacha Viñas Centenarias 2022Cariñena,EspañaGreat Value4,12548 valoraciones14,80 €",,8.0,,7.0,21.0,,14.8,,4.1254,Cariñena,20250716_125646,2025-07-16 12:58:39,Tinto,https://www.vivino.com/particular-es-garnacha-vinas-centenarias/w/2338003?year=2022&price_id=38799328
vivino_diversificado_20250716_130100.csv,2021.0,Pagos del,Vinos Baratos €5-15,Great Value,,Disponible,"Pagos del MoncayoPrados Colección Garnacha 2021Campo de Borja,EspañaGreat Value4,1181 valoraciones14,90 €",,1.0,,8.0,21.0,,14.9,,4.118,Campo de Borja,20250716_125646,2025-07-16 12:58:39,Tinto,https://www.vivino.com/pagos-del-moncayo-prados-coleccion-garnacha/w/5409799?year=2021&price_id=34084953
vivino_diversificado_20250716_130100.csv,2022.0,Vinos Divertidos Camino,Vinos Baratos €5-15,Great Value,,Disponible,"Vinos DivertidosCamino A Pardos Garnacha Viñas Viejas 80 Old Vines 2022Calatayud,EspañaGreat Value4,1384 valoraciones12,90 €",,4.0,,9.0,21.0,,12.9,,4.138,Calatayud,20250716_125646,2025-07-16 12:58:39,Tinto,https://www.vivino.com/vinos-divertidos-camino-a-pardos-garnacha-vinas-viejas-80-old-vines/w/9894859?year=2022&price_id=39306606
vivino_diversificado_20250716_130100.csv,2019.0,Valquejigoso Carpetano,Vinos Baratos €5-15,Great Value,,Disponible,"ValquejigosoCarpetano Garnacha 2019Madrid,EspañaGreat Value4,1147 valoraciones14,95 €",,7.0,,10.0,21.0,,14.95,,4.114,Madrid,20250716_125646,2025-07-16 12:58:39,Tinto,https://www.vivino.com/valquejigoso-carpetano-garnacha/w/11316262?year=2019&price_id=31843204
vivino_diversificado_20250716_130100.csv,2019.0,Bodegas Aragonesas Terroir,Vinos Medios €15-30,Good Value,,Disponible,"Bodegas AragonesasTerroir Nabulé Garnacha 2019Campo de Borja,EspañaGood Value4,2194 valoraciones25,95 €",,4.0,,1.0,31.0,,25.95,,4.219,Campo de Borja,20250716_125646,2025-07-16 12:59:07,Tinto,https://www.vivino.com/bodegas-aragonesas-terroir-nabule-garnacha/w/10090417?year=2019&price_id=38582029
vivino_diversificado_20250716_130100.csv,2022.0,Terra Remota Camino,Vinos Medios €15-30,Great Value,,Disponible,"Terra RemotaCamino 2022Empordà,EspañaGreat Value4,269 valoraciones18,45 €",,9.0,,2.0,31.0,,18.45,,4.26,Empordà,20250716_125646,2025-07-16 12:59:07,Tinto,https://www.vivino.com/terra-remota-camino/w/1222476?year=2022&price_id=38019580
vivino_diversificado_20250716_130100.csv,2017.0,Puiggros Sentits Negres,Vinos Medios €15-30,Great Value,,Disponible,"PuiggrosSentits Negres Vinyes Velles Garnatxa Negra 2017Cataluña,EspañaGreat Value4,231 valoraciones20 €",,1.0,,4.0,31.0,,20.0,,4.23,Cataluña,20250716_125646,2025-07-16 12:59:07,Tinto,https://www.vivino.com/puiggros-sentits-negres-vinyes-velles-garnatxa-negra/w/1213863?year=2017&price_id=31602358
vivino_diversificado_20250716_130100.csv,2023.0,Las Pedreras Los,Vinos Medios €15-30,Great Value,,Disponible,"Las PedrerasLos Arroyuelos 2023Castilla y León,EspañaGreat Value4,237 valoraciones22,50 €",,7.0,,5.0,31.0,,22.5,,4.23,Castilla y León,20250716_125646,2025-07-16 12:59:07,Tinto,https://www.vivino.com/las-pedreras-los-arroyuelos/w/9787667?year=2023&price_id=38807253
vivino_diversificado_20250716_130100.csv,2021.0,Alto Horizonte Alto,Vinos Medios €15-30,Great Value,,Disponible,"Alto HorizonteAlto de la Cruz Garnacha 2021Madrid,EspañaGreat Value4,2255 valoraciones28,50 €",,5.0,,6.0,31.0,,28.5,,4.225,Madrid,20250716_125646,2025-07-16 12:59:07,Tinto,https://www.vivino.com/alto-horizonte-alto-de-la-cruz-garnacha/w/6910178?year=2021&price_id=36486174
vivino_diversificado_20250716_130100.csv,2019.0,Ahorra16,Vinos Medios €15-30,Good Value,,Disponible,"Ahorra16%Pago Los BalancinesBarbas de gata 2019Extremadura,EspañaGood Value4,2335 valoraciones29,50 €35,50 €",,5.0,,7.0,31.0,,29.5,,4.233,España,20250716_125646,2025-07-16 12:59:07,Tinto,https://www.vivino.com/pago-los-balancines-barbas-de-gata/w/8048744?year=2019&price_id=38613422
vivino_diversificado_20250716_130100.csv,2021.0,Bodegas Aragonesas Fagus,Vinos Medios €15-30,Great Value,,Disponible,"Bodegas AragonesasFagus de Coto de Hayas Garnacha 2021Aragón,EspañaGreat Value4,1134 valoraciones19,78 €",,4.0,,8.0,31.0,,19.78,,4.113,Aragón,20250716_125646,2025-07-16 12:59:07,Tinto,https://www.vivino.com/bodegas-aragonesas-fagus-de-coto-de-hayas-garnacha/w/1206543?year=2021&price_id=39402050
vivino_diversificado_20250716_130100.csv,2021.0,Bodega Sommos Araia,Vinos Medios €15-30,Good Value,,Disponible,"Bodega SommosAraia Garnacha 2021Calatayud,EspañaGood Value4,161 valoraciones21,95 €",,1.0,,9.0,31.0,,21.95,,4.16,Calatayud,20250716_125646,2025-07-16 12:59:07,Tinto,https://www.vivino.com/bodega-sommos-araia-garnacha/w/11772224?year=2021&price_id=36088227
vivino_diversificado_20250716_130100.csv,2019.0,Lagravera Cíclic Negre,Vinos Medios €15-30,Good Value,,Disponible,"LagraveraCíclic Negre 2019Costers del Segre,EspañaGood Value4,1178 valoraciones23,90 €",,8.0,,10.0,31.0,,23.9,,4.117,Costers del Segre,20250716_125646,2025-07-16 12:59:07,Tinto,https://www.vivino.com/lagravera-ciclic-negre/w/9309559?year=2019&price_id=39307197
vivino_diversificado_20250716_130100.csv,2022.0,Bodegas Frontonio Parcela,Vinos Premium €30-60,Good Value,,Disponible,"Bodegas FrontonioParcela La Cerqueta Garnacha 2022Valdejalón,EspañaGood Value4,2246 valoraciones54,20 €",,6.0,,1.0,41.0,,54.2,,4.224,Valdejalón,20250716_125646,2025-07-16 12:59:39,Tinto,https://www.vivino.com/frontonio-parcela-la-cerqueta-garnacha/w/9078244?year=2022&price_id=38820343
vivino_diversificado_20250716_130100.csv,2018.0,Telmo Rodriguez Pegaso,Vinos Premium €30-60,Good Value,,Disponible,"Telmo RodriguezPegaso Arrebatacapas 2018Madrid,EspañaGood Value4,227 valoraciones51,90 €",,7.0,,2.0,41.0,,51.9,,4.22,Madrid,20250716_125646,2025-07-16 12:59:39,Tinto,https://www.vivino.com/telmo-rodriguez-pegaso-arrebatacapas/w/8760918?year=2018&price_id=27708202
vivino_diversificado_20250716_130100.csv,2021.0,Bodegas Frontonio Parcela,Vinos Premium €30-60,Good Value,,Disponible,"Bodegas FrontonioParcela La Cerqueta Garnacha 2021Valdejalón,EspañaGood Value4,2246 valoraciones54,20 €",,6.0,,3.0,41.0,,54.2,,4.224,Valdejalón,20250716_125646,2025-07-16 12:59:39,Tinto,https://www.vivino.com/frontonio-parcela-la-cerqueta-garnacha/w/9078244?year=2021&price_id=37528069
vivino_diversificado_20250716_130100.csv,2011.0,Las Moradas,Vinos Premium €30-60,,,Disponible,"Las Moradas de San MartínLibro Once. Las Luces 2011Madrid,España4,2139 valoraciones37 €",,9.0,,4.0,41.0,,37.0,,4.213,Madrid,20250716_125646,2025-07-16 12:59:39,Tinto,https://www.vivino.com/las-moradas-de-san-martin-libro-once-las-luces/w/10287905?year=2011&price_id=34212379
vivino_diversificado_20250716_130100.csv,2020.0,Rico Nuevo La,Vinos Premium €30-60,Good Value,,Disponible,"Rico NuevoLa Quebrá 2020Castilla y León,EspañaGood Value4,294 valoraciones55 €",,4.0,,5.0,41.0,,55.0,,4.29,Castilla y León,20250716_125646,2025-07-16 12:59:39,Tinto,https://www.vivino.com/rico-nuevo-la-quebra/w/8782323?year=2020&price_id=33740209
vivino_diversificado_20250716_130100.csv,2018.0,Olivardots Vd,Vinos Premium €30-60,,,Disponible,"OlivardotsVd’O 5 Garnatxa - Sorra 2018Empordà,España4,1128 valoraciones31,75 €",,8.0,,6.0,41.0,,31.75,,4.112,Empordà,20250716_125646,2025-07-16 12:59:39,Tinto,https://www.vivino.com/olivardots-vd-o-5-garnatxa-sorra/w/2580005?year=2018&price_id=28554825
vivino_diversificado_20250716_130100.csv,2022.0,Reventón La Reina,Vinos Premium €30-60,,,Disponible,"El ReventónLa Reina 2022Madrid,España4,1104 valoraciones33 €",,4.0,,7.0,41.0,,33.0,,4.11,Madrid,20250716_125646,2025-07-16 12:59:39,Tinto,https://www.vivino.com/el-reventon-la-reina/w/12148142?year=2022&price_id=38982024
vivino_diversificado_20250716_130100.csv,2018.0,Abadia,Vinos Premium €30-60,Good Value,,Disponible,"Abadia de PobletEl Tossal de la Salut 2018Conca de Barberà,EspañaGood Value4,1238 valoraciones39,23 €",,8.0,,8.0,41.0,,39.23,,4.123,España,20250716_125646,2025-07-16 12:59:39,Tinto,https://www.vivino.com/abadia-de-poblet-el-tossal-de-la-salut/w/7041855?year=2018&price_id=35995902
vivino_diversificado_20250716_130100.csv,2020.0,Espelt Les Elies,Vinos Premium €30-60,Good Value,,Disponible,"EspeltLes Elies Lledoner Negre 2020Cataluña,EspañaGood Value4,1117 valoraciones30,06 €",,7.0,,9.0,41.0,,30.06,,4.111,Cataluña,20250716_125646,2025-07-16 12:59:39,Tinto,https://www.vivino.com/es-espelt-les-elies-lledoner-negre/w/7756793?year=2020&price_id=37424932
vivino_historico_completo.csv,2017.0,Herència,,Good Value,,,,"Herència AltésLa Xalamera 2017Terra Alta, EspañaGood Value4,139 valoraciones27,90 €",139.0,,1.0,,,27.9,,4.13,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/herencia-altes-la-xalamera-terra-alta/w/6170276?year=2017&price_id=20922078
vivino_historico_completo.csv,2016.0,Viñas,,Cosecha más antigua,,,,"Viñas del VeroSecastilla 2016Somontano, EspañaCosecha más antigua disponible4,151 valoraciones33,90 €",151.0,,2.0,,,33.9,,4.15,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/vinas-del-vero-secastilla/w/1158235?year=2016&price_id=25421069
vivino_historico_completo.csv,2023.0,Altavins Vinerel,,Good Value,,,,"AltavinsVinerel.Les Garnatxa Peluda 2023Terra Alta, EspañaGood Value4,146 valoraciones22,25 €",146.0,,3.0,,,22.25,,4.14,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/altavins-vinerel-les-garnatxa-peluda/w/11471752?year=2023&price_id=39308500
vivino_historico_completo.csv,2021.0,Cuevas,,Good Value,,,,"Cuevas de AromOS Cantals 2021Campo de Borja, EspañaGood Value4,1427 valoraciones42,21 €",1427.0,,4.0,,,42.21,,4.142,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/cuevas-de-arom-os-cantals/w/5796944?year=2021&price_id=34502822
vivino_historico_completo.csv,2020.0,Bodegas,,Great Value,,,,"Bodegas AtecaAtteca Garnacha (Old Vines) 2020Calatayud, EspañaGreat Value4,1608 valoraciones14,46 €",1608.0,,5.0,,,14.46,,4.16,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/bodegas-ateca-atteca-garnacha-old-vines/w/1183710?year=2020&price_id=38449392
vivino_historico_completo.csv,2021.0,Soto,,,,,,"Soto y ManriqueAlto de la Estrella 2021Castilla y León, España4,1118 valoraciones32 €",1118.0,,6.0,,,32.0,,4.111,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/soto-y-manrique-alto-de-la-estrella/w/9110384?year=2021&price_id=38500087
vivino_historico_completo.csv,2021.0,Breca Garnacha,,Great Value,,,,"BrecaGarnacha 2021Calatayud, EspañaGreat Value4,182 valoraciones14,10 €",182.0,,7.0,,,14.1,,4.18,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/breca-garnacha-calatayud/w/1370945?year=2021&price_id=38561559
vivino_historico_completo.csv,2019.0,Vinyes,,Good Value,,,,"Vinyes TortugaHunky Dory 2019Cataluña, EspañaGood Value4,188 valoraciones43,95 €",188.0,,8.0,,,43.95,,4.18,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/vinyes-tortuga-hunky-dory/w/7450443?year=2019&price_id=33825942
vivino_historico_completo.csv,2021.0,Bodegas,,Great Value,,,,"Bodegas Paco MuleroGarnacha 2021Calatayud, EspañaGreat Value4,191 valoraciones10,90 €",191.0,,9.0,,,10.9,,4.19,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/bodegas-paco-mulero-garnacha/w/8995715?year=2021&price_id=35422551
vivino_historico_completo.csv,2022.0,Particular Garnacha,,Great Value,,,,"ParticularGarnacha Viñas Centenarias 2022Cariñena, EspañaGreat Value4,12548 valoraciones14,80 €",12548.0,,10.0,,,14.8,,4.1254,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/particular-es-garnacha-vinas-centenarias/w/2338003?year=2022&price_id=38799328
vivino_historico_completo.csv,2021.0,Terra,,,,,,"Terra RemotaCamino 2021Empordà, España  4,1147 valoraciones38,80 €",1147.0,,12.0,,,38.8,,4.114,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/terra-remota-camino/w/1222476?year=2021&price_id=38859603
vivino_historico_completo.csv,2022.0,Vinos,,Great Value,,,,"Vinos DivertidosCamino A Pardos Garnacha Viñas Viejas 80 Old Vines 2022Calatayud, EspañaGreat Value4,1384 valoraciones12,90 €",1384.0,,13.0,,,12.9,,4.138,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/vinos-divertidos-camino-a-pardos-garnacha-vinas-viejas-80-old-vines/w/9894859?year=2022&price_id=39306606
vivino_historico_completo.csv,2021.0,Pagos,,Great Value,,,,"Pagos del MoncayoPrados Colección Garnacha 2021Campo de Borja, EspañaGreat Value4,1181 valoraciones14,90 €",1181.0,,14.0,,,14.9,,4.118,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/pagos-del-moncayo-prados-coleccion-garnacha/w/5409799?year=2021&price_id=34084953
vivino_historico_completo.csv,2017.0,Carlos,,Good Value,,,,"Carlos RubenAntonio Antonia 2017Aragón, EspañaGood Value4,158 valoraciones24,95 €",158.0,,15.0,,,24.95,,4.15,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/carlos-ruben-antonio-antonia/w/7256945?year=2017&price_id=27201047
vivino_historico_completo.csv,2019.0,Proyecto,,Good Value,,,,"Proyecto Garnachas de EspañaLa Garnacha Perdida 2019Aragón, EspañaGood Value4,1333 valoraciones22,75 €",1333.0,,16.0,,,22.75,,4.133,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/proyecto-garnachas-de-espana-la-garnacha-perdida/w/5296470?year=2019&price_id=27445400
vivino_historico_completo.csv,2022.0,Viña,,,,,,"Viña ZorzalLa Peli 2022Navarra, España  4,171 valoraciones34,90 €",171.0,,17.0,,,34.9,,4.17,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/vina-zorzal-la-peli/w/8784103?year=2022&price_id=36953388
vivino_historico_completo.csv,2022.0,Cérvoles Garnatxa,,Good Value,,,,"CérvolesGarnatxa de Cérvoles Vinyes Altes de Les Garrigues 2022Costers del Segre, EspañaGood Value4,1232 valoraciones17,15 €",1232.0,,18.0,,,17.15,,4.123,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/cervoles-garnatxa-de-cervoles-vinyes-altes-de-les-garrigues/w/4547042?year=2022&price_id=34401899
vivino_historico_completo.csv,2019.0,Valquejigoso Carpetano,,Great Value,,,,"ValquejigosoCarpetano Garnacha 2019Madrid, EspañaGreat Value4,1147 valoraciones14,95 €",1147.0,,19.0,,,14.95,,4.114,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/valquejigoso-carpetano-garnacha/w/11316262?year=2019&price_id=31843204
vivino_historico_completo.csv,2022.0,Borsao,,Great Value,,,,"Borsao BodegasTres Picos Garnacha 2022Campo de Borja, EspañaGreat Value4,172 valoraciones13,35 €",172.0,,21.0,,,13.35,,4.17,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/borsao-bodegas-tres-picos-garnacha/w/35374?year=2022&price_id=38974679
vivino_historico_completo.csv,2021.0,Bodegas,,Good Value,,,,"Bodegas FrontonioSupersónico Garnacha 2021Valdejalón, EspañaGood Value4,196 valoraciones27,15 €",196.0,,22.0,,,27.15,,4.19,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/frontonio-supersonico-garnacha/w/4968370?year=2021&price_id=36112974
vivino_historico_completo.csv,2019.0,Herència,,Good Value,,,,"Herència AltésLa Xalamera 2019Terra Alta, EspañaGood Value4,153 valoraciones29,90 €",153.0,,23.0,,,29.9,,4.15,España,20250716_102933,2025-07-16 10:29:33,Tinto,https://www.vivino.com/herencia-altes-la-xalamera-terra-alta/w/6170276?year=2019&price_id=36324678
